Artist;Country
Miley Cyrus;United States
FIFTY FIFTY;United Kingdom
ROSALÍA;Spain
PinkPantheress;United Kingdom
Metro Boomin;United States
David Kushner;United States
KAROL G;Colombia
Rema;Nigeria
Taylor Swift;United States
d4vd;United States
David Guetta;France
SZA;United States
The Weeknd;Canada
OneRepublic;United States
Bizarrap;Argentina
Stephen Sanchez;United States
Tom Odell;United Kingdom
Harry Styles;United Kingdom
Bad Bunny;Puerto Rico
Eminem;United States
Coi Leray;United States
RAYE;United Kingdom
Drake;Canada
Miguel;United States
The Neighbourhood;United States
Sam Smith;United Kingdom
Ruth B.;Canada
NewJeans;South Korea
JVKE;United States
Glass Animals;United Kingdom
Manuel Turizo;Colombia
Morgan Wallen;United States
Billie Eilish;United States
Meghan Trainor;United States
Sabrina Carpenter;United States
Ed Sheeran;United Kingdom
Yandel;Puerto Rico
Coldplay;United Kingdom
Arctic Monkeys;United Kingdom
Labrinth;United Kingdom
One Direction;United Kingdom
Lewis Capaldi;United Kingdom
Bruno Mars;United States
Post Malone;United States
Justin Bieber;Canada
Conan Gray;United States
The Walters;United States
Calvin Harris;United Kingdom
Frank Ocean;United States
Kanye West;United States
Niall Horan;United Kingdom
Linkin Park;United States
Arcángel;Puerto Rico
Central Cee;United Kingdom
Elley Duhé;United States
The Killers;United States
James Arthur;United Kingdom
The Chainsmokers;United States
Keane;United Kingdom
The Kid LAROI;Australia
Twenty One Pilots;United States
Avicii;Sweden
Imagine Dragons;United States
Olivia Rodrigo;United States
Lost Frequencies;Belgium
Doja Cat;United States
Ariana Grande;United States
John Legend;United States
Måneskin;Italy
Elton John;United Kingdom
JISOO;South Korea
Joji;United States
Travis Scott;United States
Shakira;Colombia
Kendrick Lamar;United States
Alec Benjamin;United States
Rihanna;United States
JAY-Z;United States
Kate Bush;United Kingdom
Adele;United Kingdom
The White Stripes;United States
Lady Gaga;United States
Kali Uchis;United States
Tame Impala;Australia
Shawn Mendes;Canada
Cris Mj;Chile
Imanbek;Kazakhstan
Gorillaz;United Kingdom
DJ Snake;France
Dua Lipa;United Kingdom
Gesaffelstein;France
Juice WRLD;United States
Maroon 5;United States
Paloma Faith;United Kingdom
Nelly Furtado;Canada
Childish Gambino;United States
Vance Joy;Australia
WALK THE MOON;United States
Hozier;United Kingdom
GAYLE;United States
Evanescence;United States
Lana Del Rey;United States
Bryson Tiller;United States
Tyler The Creator;United States
Pitbull;United States
Marshmello;United States
Train;United States
50 Cent;United States
Ice Spice;United States
Jaymes Young;United States
XXXTENTACION;United States
Santana;United States
Farruko;Puerto Rico
Foster The People;United States
Offset;United States
Capital Cities;United States
Wiz Khalifa;United States
Lil Nas X;United States
Tiësto;Netherlands
Britney Spears;United States
French Montana;United States
Mark Ronson;United Kingdom
Charlie Puth;United States
girl in red;Norway
Usher;United States
Lukas Graham;Denmark
21 Savage;United States
Blink-182;United States
DNCE;United States
Carly Rae Jepsen;Canada
Macklemore & Ryan Lewis;United States
Red Hot Chili Peppers;United States
Powfu;Canada
Rauw Alejandro;Puerto Rico
Swedish House Mafia;Sweden
BTS;South Korea
Jack Harlow;United States
Daddy Yankee;Puerto Rico
Daft Punk;France
The Game;United States
Giveon;United States
Outkast;United States
Black Eyed Peas;United States
Lauv;United States
Backstreet Boys;United States
P!nk;United States
Tainy;Puerto Rico
Selena Gomez;United States
Selena Gomez & The Scene;United States
Future;United States
J. Cole;United States
24kGoldn;United States
Sean Paul;Jamaica
Kings of Leon;United States
Akon;Senegal
Gym Class Heroes;United States
Roddy Ricch;United States
Jimmy Eat World;United States
Hoobastank;United States
Timbaland;United States
Kesha;United States
Lil Uzi Vert;United States
Lil Baby;United States
Christina Perri;United States
Lizzo;United States
Kodaline;United Kingdom
Camila Cabello;United States
Snow Patrol;United Kingdom
MKTO;United States
Calum Scott;United Kingdom
Luis Fonsi;Puerto Rico
Florence + The Machine;United Kingdom
Taio Cruz;United Kingdom
BØRNS;United States
Meek Mill;United States
Pharrell Williams;United States
Alicia Keys;United States
Jason Mraz;United States
Martin Garrix;Netherlands
Bon Jovi;United States
Ava Max;United States
NF;United States
MGMT;United States
Lil Wayne;United States
CKay;Nigeria
Flo Rida;United States
Lil Tecca;United States
Polo G;United States
Madison Beer;United States
MAGIC!;Canada
Milky Chance;Germany
My Chemical Romance;United States
Dr. Dre;United States
WILLOW;United States
Spice Girls;United Kingdom
Pop Smoke;United States
Khalid;United States
Amy Winehouse;United Kingdom
Carrie Underwood;United States
American Authors;United States
George Ezra;United Kingdom
Lil Tjay;United States
Sia;Australia
Avril Lavigne;Canada
Don Omar;Puerto Rico
Katy Perry;United States
Neon Trees;United States
Alan Walker;Norway
The Script;United Kingdom
The Fray;United States
Nickelback;Canada
ZAYN;United Kingdom
3 Doors Down;United States
Of Monsters and Men;Iceland
Keyshia Cole;United States
Playboi Carti;United States
Becky G;United States
Sheck Wes;United States
LISA;Japan
Axwell /\ Ingrosso;Sweden
Regard;United States
Lorde;New Zealand
Nicki Minaj;United States
Franz Ferdinand;United Kingdom
Zedd;Germany
Amy Macdonald;United Kingdom
Empire of the Sun;Australia
Cardi B;United States
Stromae;Belgium
Green Day;United States
Jessie J;United Kingdom
Dean Lewis;Australia
Justin Timberlake;United States
OMI;Jamaica
Demi Lovato;United States
Beyoncé;United States
Nelly;United States
Jay Sean;United Kingdom
A Boogie Wit da Hoodie;United States
Owl City;United States
The Wanted;United Kingdom
Joel Corry;United Kingdom
Plain White T's;United States
The Lumineers;United States
James Blunt;United Kingdom
Mike Posner;United States
Dynoro;Lithuania
Weezer;United States
Shaggy;Jamaica
R. City;United States
Ellie Goulding;United Kingdom
Zara Larsson;Sweden
Jennifer Lopez;United States
Corinne Bailey Rae;United Kingdom
Majestic;United Kingdom
SAINt JHN;Guyana
Alessia Cara;Canada
will.i.am;United States
Paramore;United States
Fall Out Boy;United States
Foo Fighters;United States
GROUPLOVE;United States
t.A.T.u.;Russia
Nico & Vinz;Norway
Estelle;United Kingdom
Sean Kingston;Jamaica
Nadin Amizah;Indonesia
Gnarls Barkley;United States
Toploader;United Kingdom
Piso 21;Colombia
Trevor Daniel;United States
Chris Brown;United States
Maluma;Colombia
G-Eazy;United States
JP Saxe;Canada
Kygo;Norway
Soulja Boy;United States
Audioslave;United States
Dave;Netherlands
Rixton;United Kingdom
THE ANXIETY;United States
M83;France
Skillet;United States
M.I.A.;United Kingdom
DaBaby;United States
Limp Bizkit;United States
Lil Peep;United States
Destiny's Child;United States
Ne-Yo;United States
Robin Schulz;Germany
Muse;United Kingdom
Rae Sremmurd;United States
Kungs;France
Pamungkas;Indonesia
Mr. Probz;Netherlands
Snoop Dogg;United States
Vanessa Carlton;United States
Jet;Australia
Masked Wolf;Australia
Alice Deejay;Netherlands
Topic;Germany
Rob $tone;United States
ScHoolboy Q;United States
All Time Low;United States
Incubus;United States
Mary J. Blige;United States
Macklemore;United States
Jamie Miller;United States
gnash;United States
The 1975;United Kingdom
Modjo;France
Juicy Luicy;Indonesia
Major Lazer;Jamaica
Oliver Tree;United States
John Newman;United Kingdom
Lou Bega;Germany
Cassie;United States
MEDUZA;Italy
Iyaz;British Virgin Islands
Arizona Zervas;United States
MK;United States
Nio Garcia;Puerto Rico
Thirty Seconds To Mars;United States
Natasha Bedingfield;United Kingdom
fun.;United States
Fifth Harmony;United States
Logic;United States
Dominic Fike;United States
Aqua;Denmark
Leona Lewis;United Kingdom
Robin Thicke;United States
Loud Luxury;Canada
T-Pain;United States
Eric Prydz;Sweden
Kylie Minogue;Australia
Tones And I;Australia
Mabel;United Kingdom
Norah Jones;United States
benny blanco;United States
Anitta;Brazil
A$AP Rocky;United States
The Red Jumpsuit Apparatus;United States
Alok;Brazil
Madonna;United States
Surf Mesa;United States
Sum 41;Canada
Eve;United States
Hailee Steinfeld;United States
T.I.;United States
Anne-Marie;France
Russ;United States
Dennis Lloyd;Israel
Kehlani;United States
Waka Flocka Flame;United States
Jeremih;United States
Jonas Blue;United Kingdom
Bastille;United Kingdom
Mustard;United States
X Ambassadors;United States
The Strokes;United States
Galantis;Sweden
Jawsh 685;New Zealand
Tory Lanez;Canada
Anuel AA;Puerto Rico
Alien Ant Farm;United States
Migos;United States
Kelly Clarkson;United States
Surfaces;United States
Jason Derulo;United States
THE SCOTTS;United States
Ozuna;Puerto Rico
DJ Khaled;United States
Halsey;United States
Kodak Black;United States
Fetty Wap;United States
B.o.B;United States
Daniel Powter;Canada
U2;United Kingdom
Jack Johnson;Hawaii
Lil Mosey;United States
Alex Gaudino;Italy
Tove Lo;Sweden
Big Sean;United States
Three Days Grace;Canada
Guru Josh Project;United Kingdom
Gigi D'Agostino;Italy
Disclosure;United Kingdom
Mario;United States
Rascal Flatts;United States
Far East Movement;United States
Alex & Sierra;United States
Bebe Rexha;United States
J Balvin;Colombia
Bazzi;United States
The Kooks;United Kingdom
Finger Eleven;Canada
A$AP Ferg;United States
Clean Bandit;United Kingdom
AWOLNATION;United States
Azealia Banks;United States
Little Mix;United Kingdom
Lunay;Puerto Rico
Eric Church;United States
Fountains Of Wayne;United States
Olly Murs;United Kingdom
The Calling;United States
Nicky Jam;Puerto Rico
Lifehouse;United States
Paulo Londra;Argentina
Felix Jaehn;Germany
Kid Rock;United States
Myke Towers;Puerto Rico
GANGGA;Indonesia
alt-J;United Kingdom
Bella Poarch;United States
Echosmith;United States
Jason Aldean;United States
Ashanti;United States
John Mayer;United States
The xx;United Kingdom
Juanes;Colombia
BlocBoy JB;United States
Sara Bareilles;United States
D12;United States
Lady A;United States
Mariah Carey;United States
LMFAO;United States
Lilly Wood and The Prick;France
5 Seconds of Summer;Australia
Daya;United States
KT Tunstall;United Kingdom
Baby Bash;United States
Wheatus;United States
Dido;United Kingdom
Rudimental;United Kingdom
Ella Mai;United Kingdom
Two Door Cinema Club;United Kingdom
Fat Joe;United States
Jack Ü;United States
Tinashe;United States
Pink Sweat$;United States
Saweetie;United States
Travie McCoy;United States
Trey Songz;United States
Colbie Caillat;United States
Crazy Town;United States
Aminé;United States
Kardinal Offishall;Canada
The Pussycat Dolls;United States
dhruv;United Kingdom
Christina Aguilera;United States
MIKA;United Kingdom
Trapt;Canada
Alesso;Sweden
Busta Rhymes;United States
Tom Walker;United Kingdom
Internet Money;United States
James Bay;United Kingdom
FINNEAS;United States
Alexandra Stan;Romania
Route 94;United Kingdom
Jordin Sparks;United States
MARINA;United Kingdom
Fort Minor;United States
NLE Choppa;United States
Dan + Shay;United States
James TW;United Kingdom
DMX;United States
Lloyd;United States
Vampire Weekend;United States
La Roux;United Kingdom
Jonas Brothers;United States
Kid Cudi;United States
blackbear;United States
Michael Bublé;Canada
Uncle Kracker;United States
Creed;United States
Phillip Phillips;United States
Bobby Shmurda;United States
Astrid S;Norway
Diddy;United States
Years & Years;United Kingdom
ROSÉ;South Korea
Sech;Panama
Lyodra;Indonesia
Puddle Of Mudd;United States
Birdy;United Kingdom
Bon Iver;United States
Tyga;United States
JoJo;United States
Cage The Elephant;United States
Burak Yeter;Netherlands
CJ;United States
Sofía Reyes;Mexico
Craig David;United Kingdom
Snakehips;United Kingdom
The Vamps;United Kingdom
Lonestar;United States
Toby Keith;United States
Machine Gun Kelly;United States
Skrillex;United States
Jesse McCartney;United States
Young Money;United States
Madcon;Norway
Fergie;United States
Megan Thee Stallion;United States
Pia Mia;United States
Mac Miller;United States
iann dior;United States
6ix9ine;United States
Gwen Stefani;United States
KYLE;United States
Passenger;United Kingdom
Rich The Kid;United States
Darude;Finland
Twista;United States
Lily Allen;United Kingdom
Alvaro Soler;Spain
Klangkarussell;Austria
Oasis;United Kingdom
Mike Perry;Sweden
Lupe Fiasco;United States
Sisqo;United States
Hot Chelle Rae;United States
2 Chainz;United States
P.O.D.;United States
Weeekly;South Korea
Lenny Kravitz;United States
Maggie Rogers;United States
Crazy Frog;Germany
Enrique Iglesias;Spain
The Corrs;United Kingdom
James Morrison;United Kingdom
Robbie Williams;United Kingdom
LeAnn Rimes;United States
Stereophonics;United Kingdom
3OH!3;United States
Iggy Azalea;United States
Lil Dicky;United States
Bingo Players;Netherlands
Missy Elliott;United States
The All-American Rejects;United States
United States Georgia Line;United States
Toni Braxton;United States
The Darkness;United Kingdom
Mario Winans;United States
Icona Pop;Sweden
Panic! At The Disco;United States
Andy Grammer;United States
Jay Rock;United States
Good Charlotte;United States
Tim McGraw;United States
Duffy;United Kingdom
Normani;United States
Westlife;United Kingdom
Desiigner;United States
Omarion;United States
Bridgit Mendler;United States
Chamillionaire;United States
Shinedown;United States
JP Cooper;United Kingdom
Kid Ink;United States
Jamelia;United Kingdom
Armin van Buuren;Netherlands
Kevin Lyttle;Saint Vincent and The Grenadines
Cobra Starship;United States
Kevin Gates;United States
Duncan Laurence;Netherlands
Ramz;United Kingdom
Nick Jonas;United States
Diddy - Dirty Money;United States
StarBoi3;United States
Blu Cantrell;United States
Ardhito Pramono;Indonesia
Aloe Blacc;United States
The Rasmus;Finland
Kaleb J;Indonesia
Sezairi;Singapore
AJ Tracey;United Kingdom
The Chicks;United States
Paolo Nutini;United Kingdom
Flipp Dinero;United States
Mumford & Sons;United Kingdom
Freya Ridings;United Kingdom
Lil Jon & The East Side Boyz;United States
Yeah Yeah Yeahs;United States
Nina Sky;United States
The Notorious B.I.G.;United States
Grimes;Canada
Asaf Avidan;Israel
GABRIELLE;United Kingdom
Joel Adams;Australia
Chingy;United States
Bob Sinclar;France
Martin Jensen;Denmark
The Raconteurs;United States
Liam Payne;United Kingdom
Petit Biscuit;France
SAYGRACE;Australia
Michael Jackson;United States
Nine Days;United States
Jon Bellion;United States
Afroman;United States
*NSYNC;United States
September;Sweden
Ginuwine;United States
O-Zone;Moldova
Oliver Heldens;Netherlands
2Pac;United States
Ciara;United States
Duke Dumont;United Kingdom
Smash Mouth;United States
Shontelle;Barbados
Fabolous;United States
Bad Meets Evil;United States
Kelis;United States
Junior Senior;Denmark
Ludacris;United States
Sam Feldt;Netherlands
Jeezy;United States
Aaliyah;United States
Ayo & Teo;United States
Metro Station;United States
Travis;United Kingdom
Lil Jon;United States
Edward Maya;Romania
Young Thug;United States
Matchbox Twenty;United States
Basshunter;Sweden
Spiderbait;Australia
Jamie Foxx;United States
Faith Hill;United States
David Archuleta;United States
Dizzee Rascal;United Kingdom
Sigala;United Kingdom
Secondhand Serenade;United States
Deorro;United States
Lee Ann Womack;United States
Joe;United States
Terror Squad;United States
Ida Corr;Denmark
Bow Wow;United States
Mahalini;Indonesia
Foals;United Kingdom
Emeli Sandé;United Kingdom
Sebastian Ingrosso;Sweden
Tom Jones;United Kingdom
Lasgo;Belgium
Passion Pit;United States
Cali Swag District;United States
Las Ketchup;Spain
Larissa Lambert;Australia
Jagged Edge;United States
Jax Jones;United Kingdom
Misellia;Indonesia
Razorlight;United Kingdom
YG;United States
Diskoria;Indonesia
FRENSHIP;United States
Cheryl;United Kingdom
MØ;Denmark
Kasabian;United Kingdom
Klaxons;United Kingdom
DJ Sammy;Spain
Chad Kroeger;Canada
Kiesza;Canada
Purple Disco Machine;Germany
Plies;United States
Staind;United States
Yung Joc;United States
Russ Millions;United Kingdom
Kevin Rudolf;United States
Jamiroquai;United Kingdom
The Shapeshifters;United Kingdom
Budi Doremi;Indonesia
Shouse;Australia
Third Eye Blind;United States
Wayne Wonder;Jamaica
Gavin DeGraw;United States
Dermot Kennedy;United Kingdom
Take That;United Kingdom
